帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/04,15:12:51,"💝💜💞Chenchen 🌹🌹🌷感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb
🔻IG粉專
https://ktwhotels.com/lwig
(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2025/02/04,15:12:51,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda.booking.攜程.易遊網)問題，請洽預定平台客服電話。
Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/02/04,15:12:51,貼圖已傳送
User,💝💜💞Chenchen 🌹🌹🌷,2025/02/04,15:15:06,你好 我想預訂2/7晚上1間寵物雙人房1間豪華雙人房，可否安排在隔壁或同樓層？
User,💝💜💞Chenchen 🌹🌹🌷,2025/02/04,15:58:18,照片已傳送
Account,Lyken,2025/02/04,17:16:38,請問一下同住宿的寵物是狗還是貓?
User,💝💜💞Chenchen 🌹🌹🌷,2025/02/04,17:31:13,是狗 米克斯犬
Account,Lyken,2025/02/04,17:38:26,"提醒您，寵物雙人房為2張單人床房型，無一大床可選擇。
已為您安排好房間，兩間安排於隔壁。"
User,💝💜💞Chenchen 🌹🌹🌷,2025/02/04,17:39:08,好的謝謝
Account,Lyken,2025/02/04,17:40:13,照片已傳送
